,state
1,alaska
2,arizona
3,arkansas
5,colorado
6,connecticut
7,delaware
8,florida
9,georgia
10,hawaii
11,idaho
12,illinois
13,indiana
14,iowa
15,kansas
16,kentucky
17,louisiana
18,maine
19,maryland
20,massachusetts
21,michigan
22,minnesota
23,mississippi
24,missouri
25,montana
26,nebraska
27,nevada
28,new_hampshire
29,new_jersey
30,new_mexico
31,new_york
32,north_carolina
33,north_dakota
35,oklahoma
36,oregon
37,pennsylvania
38,rhode_island
39,south_carolina
40,south_dakota
41,tennessee
43,utah
44,vermont
45,virginia
46,washington
47,west_virginia
48,wisconsin
49,wyoming
